iter	Passed	Remaining
1109	3410	2734
1110	3413	2731
1111	3415	2727
1112	3418	2724
1113	3421	2721
1114	3424	2718
1115	3428	2715
1116	3430	2712
1117	3433	2708
1118	3436	2705
1119	3439	2702
1120	3442	2699
1121	3444	2695
1122	3448	2692
1123	3450	2689
1124	3453	2686
1125	3457	2683
1126	3460	2680
1127	3463	2677
1128	3466	2674
1129	3468	2670
1130	3472	2667
1131	3474	2664
1132	3477	2661
1133	3480	2658
1134	3483	2654
1135	3486	2651
1136	3489	2648
1137	3491	2645
1138	3494	2641
1139	3497	2638
1140	3500	2635
1141	3503	2631
1142	3506	2628
1143	3508	2625
1144	3512	2622
1145	3515	2619
1146	3518	2616
1147	3521	2613
1148	3523	2609
1149	3526	2606
1150	3529	2603
1151	3532	2600
1152	3536	2597
1153	3538	2594
1154	3541	2590
1155	3544	2587
1156	3547	2584
1157	3549	2580
1158	3553	2578
1159	3555	2574
1160	3558	2571
1161	3561	2568
1162	3564	2565
1163	3567	2562
1164	3570	2559
1165	3573	2555
1166	3576	2552
1167	3579	2549
1168	3581	2546
1169	3584	2543
1170	3587	2539
1171	3590	2536
1172	3593	2533
1173	3596	2530
1174	3600	2527
1175	3602	2524
1176	3605	2521
1177	3609	2518
1178	3611	2515
1179	3614	2512
1180	3617	2508
1181	3620	2505
1182	3623	2502
1183	3625	2498
1184	3629	2495
1185	3631	2492
1186	3634	2489
1187	3637	2486
1188	3640	2482
1189	3642	2479
1190	3646	2476
1191	3648	2473
1192	3651	2470
1193	3654	2466
1194	3656	2463
1195	3660	2460
1196	3663	2457
1197	3666	2454
1198	3669	2451
1199	3672	2448
1200	3675	2444
1201	3677	2441
1202	3680	2438
1203	3683	2435
1204	3686	2432
1205	3688	2428
1206	3691	2425
1207	3694	2422
1208	3697	2418
1209	3699	2415
1210	3703	2412
1211	3705	2409
1212	3708	2406
1213	3711	2403
1214	3714	2399
1215	3717	2396
1216	3720	2393
1217	3723	2390
1218	3725	2387
1219	3728	2383
1220	3731	2380
1221	3734	2377
1222	3736	2374
1223	3740	2371
1224	3742	2367
1225	3745	2364
1226	3748	2361
1227	3751	2358
1228	3753	2354
1229	3756	2351
1230	3759	2348
1231	3762	2345
1232	3765	2342
1233	3768	2339
1234	3772	2336
1235	3774	2333
1236	3777	2330
1237	3780	2326
1238	3783	2323
1239	3785	2320
1240	3789	2317
1241	3792	2314
1242	3794	2311
1243	3797	2307
1244	3800	2304
1245	3803	2301
1246	3806	2298
1247	3808	2295
1248	3812	2292
1249	3814	2288
1250	3817	2285
1251	3820	2282
1252	3823	2279
1253	3826	2276
1254	3829	2273
1255	3831	2269
1256	3834	2266
1257	3837	2263
1258	3839	2260
1259	3842	2256
1260	3845	2253
1261	3848	2250
1262	3851	2247
1263	3854	2244
1264	3856	2240
1265	3859	2237
1266	3862	2234
1267	3864	2231
1268	3868	2228
1269	3871	2225
1270	3874	2222
1271	3877	2218
1272	3879	2215
1273	3882	2212
1274	3885	2209
1275	3888	2206
1276	3890	2202
1277	3893	2199
1278	3896	2196
1279	3899	2193
1280	3902	2190
1281	3905	2187
1282	3908	2183
1283	3910	2180
1284	3914	2178
1285	3917	2174
1286	3920	2171
1287	3923	2169
1288	3927	2166
1289	3929	2162
1290	3933	2160
1291	3936	2157
1292	3939	2154
1293	3942	2151
1294	3945	2148
1295	3949	2145
1296	3952	2142
1297	3955	2139
1298	3958	2136
1299	3961	2133
1300	3964	2130
1301	3967	2126
1302	3969	2123
1303	3973	2120
1304	3976	2117
1305	3979	2114
1306	3981	2111
1307	3984	2108
1308	3987	2105
1309	3990	2101
1310	3993	2098
1311	3996	2095
1312	3999	2092
1313	4001	2089
1314	4004	2086
1315	4007	2082
1316	4010	2079
1317	4013	2076
1318	4015	2073
1319	4019	2070
1320	4021	2067
1321	4024	2063
1322	4027	2060
1323	4030	2057
1324	4032	2054
1325	4035	2051
1326	4038	2048
1327	4041	2044
1328	4044	2041
1329	4047	2038
1330	4050	2035
1331	4053	2032
1332	4055	2029
1333	4059	2026
