SEQN,CYCLE,RIAGENDR,RIDAGEYR
86329.0,2015-2016,2.0,18.0
86345.0,2015-2016,2.0,14.0
86350.0,2015-2016,2.0,49.0
86352.0,2015-2016,2.0,31.0
86356.0,2015-2016,2.0,49.0
86364.0,2015-2016,2.0,42.0
86373.0,2015-2016,2.0,15.0
86384.0,2015-2016,2.0,37.0
86387.0,2015-2016,2.0,13.0
86390.0,2015-2016,2.0,15.0
86395.0,2015-2016,2.0,36.0
86399.0,2015-2016,2.0,35.0
86409.0,2015-2016,2.0,21.0
86413.0,2015-2016,2.0,44.0
86415.0,2015-2016,2.0,21.0
86421.0,2015-2016,2.0,15.0
86425.0,2015-2016,2.0,25.0
86436.0,2015-2016,2.0,30.0
86447.0,2015-2016,2.0,22.0
86453.0,2015-2016,2.0,36.0
86456.0,2015-2016,2.0,36.0
86458.0,2015-2016,2.0,44.0
86460.0,2015-2016,2.0,37.0
86461.0,2015-2016,2.0,31.0
86467.0,2015-2016,2.0,23.0
86470.0,2015-2016,2.0,13.0
86472.0,2015-2016,2.0,30.0
86476.0,2015-2016,2.0,18.0
86482.0,2015-2016,2.0,46.0
86490.0,2015-2016,2.0,31.0
86492.0,2015-2016,2.0,17.0
86493.0,2015-2016,2.0,44.0
86509.0,2015-2016,2.0,12.0
86510.0,2015-2016,2.0,36.0
86511.0,2015-2016,2.0,16.0
86520.0,2015-2016,2.0,39.0
86524.0,2015-2016,2.0,21.0
86528.0,2015-2016,2.0,37.0
86532.0,2015-2016,2.0,19.0
86534.0,2015-2016,2.0,43.0
86536.0,2015-2016,2.0,17.0
86552.0,2015-2016,2.0,37.0
86556.0,2015-2016,2.0,31.0
86566.0,2015-2016,2.0,40.0
86568.0,2015-2016,2.0,46.0
86572.0,2015-2016,2.0,40.0
86577.0,2015-2016,2.0,12.0
86586.0,2015-2016,2.0,28.0
86590.0,2015-2016,2.0,42.0
86593.0,2015-2016,2.0,13.0
86600.0,2015-2016,2.0,25.0
86607.0,2015-2016,2.0,30.0
86613.0,2015-2016,2.0,38.0
86615.0,2015-2016,2.0,13.0
86618.0,2015-2016,2.0,34.0
86626.0,2015-2016,2.0,41.0
86629.0,2015-2016,2.0,23.0
86632.0,2015-2016,2.0,24.0
86637.0,2015-2016,2.0,40.0
86639.0,2015-2016,2.0,46.0
86645.0,2015-2016,2.0,45.0
86649.0,2015-2016,2.0,32.0
86659.0,2015-2016,2.0,14.0
86660.0,2015-2016,2.0,17.0
86666.0,2015-2016,2.0,18.0
86672.0,2015-2016,2.0,17.0
86681.0,2015-2016,2.0,44.0
86686.0,2015-2016,2.0,37.0
86697.0,2015-2016,2.0,42.0
86707.0,2015-2016,2.0,30.0
86720.0,2015-2016,2.0,34.0
86722.0,2015-2016,2.0,40.0
86724.0,2015-2016,2.0,12.0
86728.0,2015-2016,2.0,32.0
86736.0,2015-2016,2.0,45.0
86752.0,2015-2016,2.0,35.0
86761.0,2015-2016,2.0,40.0
86775.0,2015-2016,2.0,14.0
86776.0,2015-2016,2.0,28.0
86781.0,2015-2016,2.0,18.0
86785.0,2015-2016,2.0,49.0
86793.0,2015-2016,2.0,16.0
86795.0,2015-2016,2.0,35.0
86796.0,2015-2016,2.0,16.0
86800.0,2015-2016,2.0,36.0
86802.0,2015-2016,2.0,30.0
86805.0,2015-2016,2.0,31.0
86810.0,2015-2016,2.0,36.0
86811.0,2015-2016,2.0,13.0
86818.0,2015-2016,2.0,16.0
86833.0,2015-2016,2.0,26.0
86838.0,2015-2016,2.0,44.0
86841.0,2015-2016,2.0,23.0
86850.0,2015-2016,2.0,14.0
86855.0,2015-2016,2.0,39.0
86858.0,2015-2016,2.0,20.0
86863.0,2015-2016,2.0,24.0
86868.0,2015-2016,2.0,22.0
86876.0,2015-2016,2.0,38.0
86882.0,2015-2016,2.0,41.0
86889.0,2015-2016,2.0,47.0
86905.0,2015-2016,2.0,26.0
86908.0,2015-2016,2.0,41.0
86922.0,2015-2016,2.0,33.0
86923.0,2015-2016,2.0,31.0
86933.0,2015-2016,2.0,30.0
